,text,complaint_id,complaint_title
0,recently open citibank citigold checking account advertise signup bonus aadvantage point upon completion two consecutive bill payment debit card purchase sign intent complete requirement representative confirm offer apply new confirmation communicate via online secure message feature attach copy reference direct inquire expect delivery date earn tell target would receive promise conflict previously already spend considerable amount time meet,bc_5,Managing an account
1,go capital one bank open checking account sign signature card provide make opening deposit receive temporary checkdebit today still get access online spoken person branch phone different representative none able help far check back tomorrow seem good option spending minute hour try resolve issue never occur would difficult already pay order slip simply close find competent,bc_3,"Account opening, closing, or management"
2,try use chase card bakery department x ga stop transaction call company inquire work representative express make several charge inform day evening therefore unauthorized unknown mine state last time business explain forward disputes claim give credit back strongly believe place never know responsibility probe provide temporary investigation,bc_2,Using a debit or ATM card
3,approximately half hour ago visit us bank atmbranch inside grocery store leave debit card atm slot long eat immediately look go teller advise get retrieve notice customer law could give unless branch assistant manager know right say fraud anything even though inhave would reason ask also make sense assure destroy managerwhy stand keep mine literally minute prior take driver license,bc_2,Using a debit or ATM card
4,make transaction use chase quickpay send money turn fraudulent account advertise option safe protect way contact tell anything get back want cancel would let even though still say pende please work transfer company user scam find person identity thief customer,bc_6,Company charging the account
5,recently receive check settlement capital one,bc_0,Problems caused by my funds being low
6,charge bank fee less understand accountable x issue xx ach debit account still cent leave couple day veteran check came buy food knowing would incur instead next talk clerk manager corporate tell trust screen accurate information provide purchase overdraw look statement even make overdrawn pnc already unknown,bc_0,Problems caused by my funds being low
7,try get credit card huntington tell app take back standard automate line ask customer service wrong number transfer transfered speak man could barely understand procede go online apply hang furious need solve unfair people age head start life decent job want build well time please help,bc_5,Managing an account
8,transfer money joint account husband since steal inheritance large chunk open online name along friend meet insurance issue two people case something happen go fifth third bank tn lean teller desk turn screen let view recover disease time day move back well enough write check deplete fund first give three week simply saving grandson gesture make thing right refuse end divorce take,bc_5,Managing an account
9,charge bank america less x month overdraft fee directly relate classified account recur purchase pay draft request return normal status characteristic change designation order prevent set allow young sibling take specific amount instead bus reach dollar threshold previously would force massive defeat entire purpose absolutely outrageous boa decide notice,bc_0,Problems caused by my funds being low
10,joint check account son use online banking open statement arrive mail notice paypal withdrawal total neither authorize transaction fact even immediately call fraud department alert problem place restriction go local branch follow day speak bank manager review additional since last also three transfer remain balance compromise another file claim reimbursement,bc_6,Company charging the account
11,receive new debit card mail checking account request never use particular accounti call get pin yetover weekend unable make purchase credit transaction retrieve cash atm acct always keep say wrong pini emailed chase today tell send go branch wait come mailmy work schedule difficult child also humiliate could pay grocery literally home without able obtain,bc_2,Using a debit or ATM card
